,0,1
85,voce e tao mentiroso que ninguem consegue acreditar em uma palavra de que diz nem que esteja com coronavirus mas e um sinal que essa quarentena e uma farsa aproveita e renuncia canalha impeachmentdowitzel witzelditador,Político-social
86,bahiafazciencia cientistas baianos propoem novas drogas para tratar o coronavirus ciencia tecnologia inovacao covid19 covid2019,saúde
87,bolsonarotemrazao vao vendo alguns governantes ferrenhos defensores do isolamento estao sendo infectados pelo coronavirus mas o presidente jair bolsonaro que segundo a imprensa vermelha vive sacaricando por ai esta mais tranquilo que agua de poco,Político-social
88,bomdia eu insisto e persisto e viavel fazer um pacto federal entre poderes para repassar os 2 bilhoes do fundo eleitoral para saude e auxilio as vitimas do coronavirus mas o trabalho de convencimento dos politicos tem que ser feito pelo povo,saúde
89,bomdiabrasil a globo esta desde as 4 da manha falando a mesma coisa parece que nao ha outro assunto a nao ser coronavirus que saco so tocam o terror o dia todo parece que torcem pelo pior essa ana paula fala com um despeco nojo de tudo ninguem quer saber a opiniao dela,saúde
90,cemiterio vilaformosamortos por coronavirus provavelmente muitos sim covid19 fiqueemcasa stayhome,saúde
91,combateaocoronavirus nossos parlamentares estao apoiando as discussoes sobre o combate ao covid19 ou coronavirus o deputado sp falou sobre as principais acoes discutidas dentro do parlamento assista,saúde
92,coronavirus propoe alternativa ao projeto de lei de apoio a estados e municipios aprovado pela camara entre as novas medidas e as que ja estao em andamento o valor do auxilio aos entes federativos chegaria a r 127 3 bilhoes saiba mais,saúde
93,coronavirus protocolo da vigilancia sanitaria sobre o descarte do lixo domiciliar em casos positivos para covid 19 em quarentena domiciliar,saúde
94,coronavirus 15 de abril 2020 covid19,saúde
95,coronavirus aplicacoes acontecem das 19 as 22 horas e a previsao e que sejam feitas ao longo de duas semanas nas pracas publicas avenidas servicos de saude e comercios,economia
96,coronavirus bolsonaro e eleito o pior lider a lidar com o coronavirus,saúde
97,coronavirus mais um exemplo do esforco brasileiro no combate a covid 19 uma equipe de cientistas da unesp descobriu um gene humano que pode ter relacao com a maior evidencia de pacientes homens e idosos infectados pelo coronavirus,saúde
98,coronavirus os estados unidos registraram 2 228 mortes nessa terca feira 14 04 provocadas pelo novo coronavirus o numero foi apresentado as 21h30 em contagem feita pela universidade johns hopkins agora o pais tem pouco mais de 26 mil mortes,saúde
99,coronavirus plano piloto e a ra que menos respeita o isolamento uma media de 50 4 das pessoas da area central de brasilia se mantiveram em quarentena na outra ponta esta o riacho fundo 2 com 79 1 metropoles,Político-social
100,covid19 nao ha risco de desabastecimento no pais garante o ministro em entrevista exclusiva a tv brasil coronavirus,localização
101,covid19 ministro do indica que o trabalha para otimizar a malha aerea neste momento de crise com a pandemia do coronavirus em entrevista exclusiva a tv brasil,Político-social
102,covid19pt acores 15 04 11h55 acores registam 5o obito por coronavirus,saúde
103,defensorasedefensorespublicosnaoparam adefensoriaestadualnaopara defensoriasimcoronavirus decreto de itaguai distribui cestas basicas a alunos da rede,saúde
104,defensorasedefensorespublicosnaoparam adefensoriaestadualnaopara defensoriasimcoronavirus gt de regularizacao fundiaria da dpe pa garante a suspensao de reintegracoes de posse em belem e,saúde
105,defensorasedefensorespublicosnaoparam defensoriasimcoronavirus defensoria publica de ms faz recomendacao ao municipio de sonora para que seja realizado o controle de acesso de pescadores a comunidade quilombola durante,saúde
106,estamospresentes quando unimos nossas forcas podemos ir mais longe seguimos empenhados em apoiar acoes de combate ao coronavirus e temos uma novidade iniciamos as obras para implantacao rede de agua em hospital de campanha,saúde
107,mandetta ate durou muito no governo nefasto e fascistoide do bozo certamente entrara um pau mandado que ira ser subserviente ao discurso anti vida do covidiota maior da nacao coronavirus covid2019 pandemia bozocaladopoeta,Político-social
108,plenario dep parabeniza iniciativas do oficial e da no enfrentamento ao coronavirus,Político-social
109,pracegover icones representando duas pessoas com uma seta indicando o distanciamento entre elas texto distanciamento social nao e ferias precisamos estar sempre atentos a higiene e sair de casa somente em extrema necessidade o coronavirus nao obedece as suas regras,saúde
110,senadopl149nao o brasil saira dessa armadilha criada gracas ao coronavirus os politicos corruptos nao ficarao impunes,localização
111,todesacocheiode tanto ouvir a palavra coronavirus,saúde
112,bolsonaro abraca os eleitores da a mao pras pessoas vai na padaria vai na farmacia 3 testes negativos pro coronavirus wilson witzelquarentena lockdown isolamento total mascara alcool em gel pegou coronavirus parece que o jogo virou queridinho,saúde
113,bomdia democracia divulgueaverdade carapicuibasp saude coronavirus maismedicos defendaosus por zezinho almeida enrolando o lero bolsonaro incompetente e mandeta sem planejamento vao empurrando com a barriga testagem aumentar leitos respiradores,saúde
114,mst enfrenta pandemia do coronavirus com a solidariedade sem terra doam mais de tres toneladas de frutas e verduras dos assentamentos em santa maria da boa vista no pernambucosaiba mais,Político-social
115,mais uma iniciativa pra ajudar quem estiver passando por dificuldade alem do varal de mascaras a instituicao tambem ta arrecadando alimentos para a montagem de cestas basicas,Político-social
116,medicos preveem que brasil nao volta a normalidade antes de agostotanto o ministerio da saude quanto especialistas ouvidos pelo uol esperam que a situacao do coronavirus piore cada vez mais ate o mes de junho segue o fio para entender melhor,saúde
117,maranhao nao registra mortes por coronavirus pela primeira vez em 12 dias,localização
118,concurso para area da saude inscricoes pelo site de 15 04 a 22 04 respeito trabalho juntossomosmaisfortes coronavirus concursopublico,saúde
119,tres farmacias no leblon foram inspecionadas na segunda feira 13 por agentes da rio apos denuncias de comercializacao de testes rapidos para o novo coronavirus na acao nao foi constatada a venda do produto restrita a unidades hospitalares riocontraocorona,saúde
120,coronavirusneste momento os estados unidos se tornam o pais com mais mortes e mais casos de coronavirus o pais mais rico e poderoso do planeta agora e o epicentro da pandemia,saúde
121,urgente numero de casos confirmados de coronavirus no mundo chega a 2 milhoes,saúde
122,urgentecasos confirmados de coronavirus no mundo chegam a 2 milhoes,saúde
123,o comprou 18 milhoes de mascaras de protecao da china a medida vai reforcar os estoques de equipamentos de protecao individual epis da secretariadasaudesp o investimento totaliza r 63 milhoes governosp,Político-social
124,o coronavirus nao foi criado como arma biologica mas psicologica nao para espalhar mortes mas para espalhar o medo mas nao tenho duvidas de que para o caso de falhar essa estrategia uma pandemia de verdade ja esteja em preparacao,saúde
125,1 esta com coronavirus 2 esta com depressao 3 o cancer voltou 4 sabe que tomara um golpe militar em breve 5 esta de saco cheio e desencanou da presidencia 6 todas as alternativas,saúde
126,107 respiradores chegam ao maranhao para ajudar no combate ao coronavirus,saúde
127,12 como monitorar a operacao de cada processo logistico 13 exemplos da implementacao do rfid no brasil no segmento de moda 14 como construir um procedimento otimizado e abrangente desde o inicio 15 como o coronavirus esta afetando hoje as operacoes da logistica da moda,localização
128,3 os coronavirus citados sao conhecidos causadores de resfriados leves e sazonais observe na figura que eles nao conservam a mesma proteina s capaz de infectar o pulmao pelo mesmo receptor do covid 19 ace2,saúde
129,32 dos casos de coronavirus no parana ja estao curados sao 199 pessoas recuperadas entre 9 e 84 anos de idade,saúde
130,a agua da torneira do rio de janeiro mata o coronavirusretiuitem ate chegar no governador whitney witzel,Político-social
131,a analise leva em conta apenas boletins de ocorrencia cujo registro diz que o assassinato ocorreu em casa mas como em alguns casos esse campo nao e preenchido os numeros podem ser ainda maiores,saúde
132,a atividade humana desacelerou no mundo todo devido ao surto de coronavirus mas a extracao ilegal de madeira e grilagem de terras na floresta amazonica nao mostra sinais de diminuicao,saúde
133,a camara dos deputados aprovou ontem projeto que estabelece auxilio financeiro a estados e municipios durante 6 meses pela perda das receitas com arrecadacao de impostos por causa da pandemia do coronavirus o impacto do projeto aprovado pelos deputados e de r 89 6 bilhoes,Político-social
134,a capital amazonense sera a primeira a receber voluntarios da saude do programa o brasil conta comigo estudantes de medicina enfermagem fisioterapia e farmacia atuarao no combate ao coronavirus tambem havera o apoio da tele uti para auxiliar no atendimento dos casos,saúde
135,a cbf e a cnc tem trinta e cinco alternativas diferentes para a realizacao do campeonato br 2020 incluindo jogos por pontos corridos e decisoes por mata mata as opcoes sao para a disputa do torneio a partir de maio e ate os ultimos meses deste ano,saúde
136,a crise sanitaria desencadeada pelo coronavirus no mundo mostra a importancia de um sistema de saude inclusivo e universal no brasil gracas aos investimentos robustos feitos pelos governos lula e dilma na saude o pais tem condicoes de passar pela fase aguda da doenca,localização
137,a cura do coronavirus,saúde
138,a empresaria samanta santos faria de 35 anos morreu no ultimo dia 23 vitima da covid 19 o resultado do exame para o novo coronavirus so ficou pronto na sexta feira 10 16 dias apos sua morte,saúde
139,a equipe do deputado fez um levantamento de todas as acoes divulgadas pelo governo de combate ao alastramento do coronavirus saiba quais no link,Político-social
140,a falta de confianca do governo federal nas acoes de todos os governantes do pais no enfrentamento do coronavirus torna essa batalha ainda mais dificil nao e possivel que a essa altura do campeonato os governadores e prefeitos continuem a ser vistos como inimigos,Político-social
141,a falta de testes para o coronavirus no brasil favorece a campanha fantasiosa de bolsonaro de que o virus esta indo embora a subnotificacao de casos amplia a falsa sensacao de que a epidemia nao e tao grave e de que o isolamento seria desnecessario,saúde
142,a febraban teve a cara de pau de dizer hoje que em tempos de pandemia tinha que aumentar juros e uma fala criminosa pobres morrendo de fome gente morrendo de coronavirus e banqueiro vir falar em aumentar lucro voces tinham e que estar sendo taxados seus irresponsaveis,Político-social
143,a galera reclamando da ciencia pq nao ta tendo jogo do seu time serio ah mas realmente pra que seguir a ciencia ne vamos abrir uma pesquisa publica para os jogadores de futebol e a cbf resolverem o problema do coronavirus que tal chama tbm os apresentadores da record,saúde
144,a gizelly foi abracar a fernanda e ela o coronavirus meu deus ai desculpa essa mulher vai matar a globo inteira hahahahahhahaha redebbb bbb20,saúde
145,a globo quer o aumento de mortos por coronavirus desesperadamente estao fazendo reportagens dizendo que muitos morrem e nao dizem que foi coronavirus quando as denuncias sao bem ao contrario a cloroquina ta salvando milhares pelo mundo chorem urubus,saúde
146,a ilha de sao luis concentra hoje 94 dos casos confirmados de coronavirus no maranhao pactuamos com a a estrategia de atendimento que consta nesse card por favor ajudem a difundir via whatsapp e nas redes sociais obrigado,saúde
147,a imprensa nao da nenhuma noticia boa sobre coronavirus sabe por que a questao e bolsonaro assista,Político-social
148,a italia um dos paises mais afetados pelo coronavirus permitiu que parte do comercio reabrisse as portas mas a preocupacao com a doenca continua borabrasil bandjornalismo,economia
149,a letalidade do h1n1 pode ser muito maior que o coronavirus diz osmar terra opiniao critica,saúde
150,a luta contra o novo coronavirus e diaria e pede acoes rapidas entregamos nesta quarta feira 15 o hospital recife 1 construido em 20 dias essa e a quarta unidade pronta dos 7 hospitais de campanha que estao sendo construidos ao todo serao 1000 leitos juntospelavida,saúde
151,a medida que o mundo combate a pandemia de covid19 secretario geral das alertou para uma epidemia paralela segundo existe uma perigosa epidemia de desinformacao que ameaca o enfrentamento ao novo coronavirus,Político-social
152,a national emergency library disponibilizou 1 4 milhao de e books de maneira gratuita mas pra isso usou o coronavirus como desculpa sem pedir autorizacao das editoras envolvidas fundada em 1996 para arquivar paginas da web comecaram a digitalizar livros em 2005,saúde
153,a organizacao mundial da saude impediu os medicos de exortar os paises a impor controles nas fronteiras para impedir a propagacao do coronavirus foi revelado esqueca apenas os cortes de financiamento precisamos de investigacoes e demissoes,saúde
154,a pandemia do coronavirus e uma situacao de grande dificuldade e por isso exige o comprometimento de todos nos em coletiva o governador ressaltou a importancia de obedecer as recomendacoes de isolamento social dada por especialistas e hora de proteger quem amamos,Político-social
155,a pandemia ja matou mais de 120 mil pessoas diariamente mais de 5 mil pessoas estao morrendo em funcao do coronaviruse muito louco que uma galera continue a fazer churrascos festas eventos sociais nessa epocaninguem acha que vai acontecer ate que acontece fica em casa,Político-social
156,a pauta de stories sobre influenza e coronavirus esta pronta mas a fadiga de postar e maior que tudo nao aguento mais esse inferno de virus chines que saco caralho que odio,saúde
157,a pedido de bolsonaro exercito ja fez 2 2 milhoes de comprimidos de cloroquina e vai ampliar producao ministerio da saude tem dito que nao ha estudo cientifico que comprove acao contra o coronavirus via,saúde
158,a petra costa narrando um doc sobre o coronavirus fodasse kkkkkkkkkkkkkkk,saúde
159,a quantidade de pessoas que comeca a sair da toca para desvalorizar as mortes do coronavirus sugerindo que mais importante do que a vida das pessoas e a economia prova que estaline ainda e actual a morte de uma pessoa e uma tragedia de milhoes estatistica,saúde
160,a saga da primeira pessoa do mundo a esconder um exame de coronavirus que deu negativo continua,saúde
161,a suecia pode ser o unico pais do mundo que vai acertando no combate ao coronavirus eles nao fecharam nada e nao proibiram nada e agora pesquisadores de harvard dizem que eles podem estar certos em um relatorio da universidade de harvard quatro epidemiologistas e,saúde
162,a unica cidade totalmente imune ao novo coronavirus e o quinari no acre o apelido da cidade vem da planta quina quina de onde se extrai o composto milagroso que cura a covid 19 cientistas mostraram que automaticamente todos os cidadaos nascidos la nasceram imunes a doenca,saúde
163,a verdade por tras dos numeros do coronavirus que a imprensa brasileira esconde do povo assista e divulgue,Político-social
164,acabei de ler o recadinho do elevador e tem casa de coronavirus confirmado no meu condominio,saúde
165,acho que nao devemos antecipar o caos porque o caos nao necessariamente vai ocorrer todas as medidas necessarias a preservacao da ordem publica e da seguranca tem sido tomadas,saúde
166,acoes em aracaju ajudam a evitar a proliferacao do novo coronavirus no transporte coletivo,saúde
167,acompanhado por honras militares e sob aplausos da equipe medica que o atendeu o militar do brasil de 99 anos saiu em uma cadeira de rodas do hospital apos vencer o coronavirus,saúde
168,adaptamos cameras de controle infravermelho para identificar a temperatura corporal elas foram instaladas em pontos estrategicos de nossas areas operacionais e administrativas saiba energiaparatransformar,saúde
169,advogada alema tinha virado icone em circulos que minimizam coronavirus ao convocar protesto e apresentar acoes judiciais contra medidas de isolamento autoridades afirmam que ela foi internada apos agir de maneira confusa na rua e agredir policial,saúde
170,agentes de fiscalizacao notificam comercios que nao cumprem o decreto 316 2020 que autoriza a abertura parcial de comercios e servicos no horario das 10h as 16h pinhaispr rmc covid19 coronavirus coronavirusbrasil coronavirusnobrasil,economia
171,agevisa proibe em farmacias e drogarias testes rapidos para deteccao do coronavirus,saúde
172,ah coronavirus meu deus kkkkkkk redebbb,saúde
173,ai o meu doutorzinho esta com o coronavirus,saúde
174,ainda nao entendeu com pressao interna e mais de mil mortos por coronavirus suecia discute bloqueios,saúde
175,alcolumbre disse que transferir o fundao para o combate ao coronavirus e demagogia falou ainda que esta defendendo a democracia o fundo especial de financiamento de campanha foi criado em 2017 antes disso nao havia democracia,saúde
176,alguem sabe explicar porque wilson witzel rj e helder barbalho pa dois governadores totalmente comprometidos com a quarentena horizontal foram contaminados pelo coronavirus por acaso eles nao seguiram as orientacoes,Político-social
177,alta para o nosso combatente ernando vence mais uma batalha agora contra o novo coronavirus recebendo alta no mesmo dia em que se comemora os 75 anos da tomada de montese exitosa campanha das tropas brasileiras na italia durante a 2a guerra mundial,localização
178,ao inves de priorizar o enfrentamento ao coronavirus deputados ligados a grandes grupos economicos aprovam a mp 905 uma nova reforma trabalhista em plena pandemia,Político-social
179,ao vivo no gaucha atualidade historiadora lilia schwarcz avalia que a pandemia de coronavirus marca o fim do seculo 20 e fala sobre o momento atual na historia,Político-social
180,aos nossos profissionais de saude que estao trabalhando na linha de frente no combate ao coronavirus todo meu respeito e admiracao muito obrigado,saúde
181,apenas 2 000 000 de casos identificados de coronavirus 0 03 da pop foram suficientes para os sistemas de saude do mundo chegarem perto do colapso com a falta de leitos ate nos paises desenvolvidos fiqueemcasa nao sou so uma gripezinhamais infos,saúde
182,apos megaoperacao bolsonaro exonera diretor do ibama apos acao contra garimpo ilegal para evitar contaminacao de indigenas por coronavirus major olivaldi borges azevedo desencadeou megaoperacao para impedir a contaminacao de indigenas por coronavirus,saúde
183,aprenda a cortar seu proprio cabelo durante o isolamento causado pelo coronavirus,saúde
184,apresentei projeto de lei que reduz em 30 os valores das mensalidades cobradas por instituicoes privadas de ensino superior a reducao se justifica por conta da suspensao das aulas mudanca das aulas presenciais por on line durante o periodo da pandemia,Político-social
185,aprovamos a lei que garante aos estados ao distrito federal e aos municipios auxilio financeiro equivalente a um seguro contra a queda da arrecadacao do icms e iss seguro receita capaz de recompor a queda das receitas por conta do coronavirus,saúde
186,aquele que passeia sem necessidade por estabelecimentos descumpre as recomendacoes que todos seguem e passa a mao no nariz antes de cumprimentar seu gado nao tera seu resultado do seu teste para o coronavirus divulgado lembrando que quem nao deve nao teme,saúde
187,aqui vendo unha serie para despexar a cabeza do coronavirus,saúde
188,argentina e mais eficiente contra a covid 19 do que o brasil coronavirus covid19 coronavirusbrasil,localização
